pre,pre_x,pre_y,pre_z,post_x,post_y,post_z,type,Unnamed: 9,248.972,mappedSection,mappedSegRangeVar
720575940618312606,409.492,244.98,150.76,409.584,244.868,150.8,LC4,,,dend[1381],0.8331054403458529
720575940618723749,412.936,242.056,155.72,413.04,241.984,155.72,LC4,,,dend[709],0.3129286674218047
720575940622539800,422.132,238.184,155.52,422.04,238.032,155.52,LC4,,,dend[128],0.9853837351861247
720575940625934973,429.84,230.52,155.04,429.888,230.64,155.08,LC4,,,dend[172],0.9477312608131329
720575940625038090,394.92,242.496,162.76,394.86,242.392,162.72,LC4,,,dend[1080],0.9588295722112267
720575940634517856,411.276,237.056,161.4,411.248,236.988,161.48,LC4,,,dend[437],0.024903961651755836
720575940618312606,408.02,243.44,153.92,407.896,243.392,153.96,LC4,,,dend[1448],0.166558201089056
720575940610522009,436.864,231.664,143.72,436.88,231.584,143.76,LC4,,,dend[50],0.37880514375850743
720575940612518055,433.976,240.044,146.48,433.96,239.996,146.48,LC4,,,dend[1552],0.555968430195547
720575940610522009,420.136,241.808,156.56,420.036,241.748,156.56,LC4,,,dend[745],0.6762000364504832
720575940615575007,394.592,247.86,166.6,394.484,247.812,166.6,LC4,,,dend[1246],0.8570110041460297
720575940622531767,398.176,246.3,162.88,398.28,246.348,162.88,LC4,,,dend[1016],0.8951781493733806
720575940619397542,402.336,244.808,158.28,402.42,244.88,158.28,LC4,,,dend[911],0.14452904119847532
720575940625991043,416.54,236.16,154.64,416.504,236.088,154.64,LC4,,,dend[199],0.0265768822034314
720575940618312606,402.928,243.132,165.6,402.808,243.06,165.6,LC4,,,dend[469],0.8952415755030549
720575940640612480,417.308,235.724,156.8,417.252,235.612,156.76,LC4,,,dend[557],0.36481671579945335
720575940613256863,409.576,243.524,157.92,409.504,243.416,157.92,LC4,,,dend[1409],1.0
720575940615575007,401.964,246.144,162.88,401.896,246.012,162.88,LC4,,,dend[902],0.9055663145062622
720575940618807105,410.7,235.316,159.6,410.824,235.288,159.6,LC4,,,dend[450],0.5388074827637706
720575940612518055,409.908,241.94,160.28,409.78,241.88,160.28,LC4,,,dend[515],0.2224128473258766
720575940631338271,429.788,233.288,149.76,429.8,233.196,149.72,LC4,,,dend[827],0.6395803377469788
,,,,,,,,,,dend_11[55],
720575940630484495,435.212,233.196,145.76,435.176,233.324,145.76,LC4,,,dend[92],0.9560747398327071
