pre,pre_x,pre_y,pre_z,post_x,post_y,post_z,type,mappedSection,mappedSegRangeVar
720575940615462587,428.924,240.196,147.08,428.94,240.04,147.08,LC4,dend[1479],0.12696267814260284
720575940617176321,428.656,233.22,151.32,428.756,233.308,151.36,LC4,dend[1554],0.8621771260088437
720575940617176321,405.128,241.888,164.2,405.156,241.764,164.28,LC4,dend[1976],0.8287004459035705
720575940628454522,404.924,240.376,165.16,404.736,240.356,165.2,LC4,dend[1979],0.5497605779131365
720575940618676440,406.204,240.152,160.52,406.208,240.284,160.52,LC4,dend[2002],0.3047442180290204
720575940619397542,412.276,238.148,160.12,412.404,238.252,160.08,LC4,dend[1603],0.3314473223726978
720575940618676440,427.888,241.684,149.68,427.908,241.86,149.64,LC4,dend[1463],0.6015212431220176
720575940626916936,427.544,234.648,150.88,427.628,234.72,150.88,LC4,dend[1553],0.15171648890712855
720575940617026260,427.848,234.568,151.12,427.772,234.476,151.08,LC4,dend[1553],0.5060759447923867
720575940617266722,420.468,241.6,155.92,420.536,241.704,155.92,LC4,dend[1677],0.6740230227297069
720575940620903551,412.8,239.656,161.2,412.704,239.712,161.2,LC4,dend[1604],0.6508010352982662
720575940622939836,414.524,243.728,155.88,414.476,243.68,155.88,LC4,dend[1624],0.8300697014888746
720575940617266722,420.676,241.504,155.84,420.768,241.572,155.84,LC4,dend[1677],0.5927720496248943
720575940631338271,423.8,238.252,154.64,423.908,238.264,154.64,LC4,dend[1674],0.8995083237971724
720575940628122883,411.588,234.64,157.92,411.64,234.56,157.88,LC4,dend[1618],0.9845233987673665
720575940630826552,420.312,245.696,147.44,420.32,245.604,147.4,LC4,dend[1733],0.9932907434913824
720575940610522009,409.52,244.868,150.2,409.54,244.956,150.16,LC4,dend[2022],1.0
720575940626626895,422.828,245.084,148.96,422.72,245.14,148.96,LC4,dend[1728],1.0
720575940640612480,408.88,243.812,154.84,408.836,243.636,154.88,LC4,dend[1947],0.7718190084684943
720575940613260959,420.304,233.932,156.36,420.248,234.048,156.36,LC4,dend[1713],0.4140270211999252
720575940615575007,436.916,237.816,145.88,436.88,237.68,145.88,LC4,dend[1786],0.2821607914753986
720575940638496720,410.052,246.388,151.2,410.156,246.42,151.24,LC4,dend[2010],0.4613428974075029
720575940615575007,406.492,244.544,160.84,406.364,244.472,160.84,LC4,dend[1963],0.8772517673458116
720575940622539800,419.688,248.032,140.0,419.612,248.04,139.96,LC4,dend[1441],0.07190198988615724
720575940630826552,417.828,243.58,150.44,417.704,243.576,150.44,LC4,dend[1587],0.7791014337955541
720575940628122883,413.44,238.72,160.24,413.336,238.636,160.24,LC4,dend[1602],1.0
720575940613022175,413.636,239.568,157.32,413.696,239.672,157.32,LC4,dend[1594],0.570789353085936
720575940618676440,425.752,241.496,153.6,425.728,241.608,153.6,LC4,dend[1659],0.7161557190590027
720575940618676440,427.248,244.304,144.44,427.224,244.18,144.4,LC4,dend[1879],0.47372223033029837
720575940628122883,411.64,238.94,160.48,411.696,238.768,160.44,LC4,dend[1603],0.7262851901924207
720575940622531767,415.496,241.632,155.36,415.4,241.456,155.36,LC4,dend[1592],0.5371888329088592
720575940614914107,420.192,241.84,150.56,420.24,241.912,150.56,LC4,dend[1722],0.8624529489983035
720575940634517856,414.836,237.616,158.6,414.78,237.764,158.6,LC4,dend[1601],0.8080449910563041
720575940622539800,422.896,241.968,152.2,422.944,242.116,152.2,LC4,dend[1658],0.55152444116895
720575940617266722,421.896,243.52,144.2,421.816,243.548,144.24,LC4,dend[1453],0.28471845144752916
720575940633580384,424.304,238.2,155.12,424.32,238.36,155.12,LC4,dend[1673],0.9539338969699118
720575940611134833,411.3,244.96,147.92,411.4,244.888,148.0,LC4,dend[2057],0.6147251456466101
720575940610522009,431.116,233.8,150.96,431.08,233.888,150.92,LC4,dend[1501],0.9386131069577577
720575940617176321,426.788,241.776,148.92,426.776,241.904,148.92,LC4,dend[1463],0.2698586728466944
720575940618113300,425.372,240.796,147.32,425.484,240.868,147.32,LC4,dend[1459],0.4730073822160231
720575940618312606,433.828,232.648,154.2,433.932,232.656,154.2,LC4,dend[1530],1.0
720575940622539800,414.648,243.216,155.4,414.68,243.328,155.4,LC4,dend[1624],0.6306799095460176
720575940611134833,407.284,244.364,158.16,407.184,244.26,158.16,LC4,dend[1992],1.0
720575940625934973,413.032,243.448,157.24,413.168,243.496,157.2,LC4,dend[1629],0.9143657880159669
720575940612518055,428.32,234.212,151.0,428.232,234.16,151.0,LC4,dend[1553],0.8955157726809384
720575940617266722,412.736,243.308,152.08,412.62,243.376,152.04,LC4,dend[2026],0.539514159460128
720575940618312606,432.912,240.616,144.92,432.984,240.532,144.96,LC4,dend[1841],0.3119004260079417
720575940631338271,416.344,245.144,151.96,416.392,245.3,151.96,LC4,dend[1642],0.7338015162870312
720575940633580384,433.036,240.572,146.08,433.136,240.624,146.08,LC4,dend[1771],0.7702577204204407
720575940626626895,422.984,243.024,151.76,423.088,242.9,151.76,LC4,dend[1655],0.6243796326156924
720575940615462587,428.728,234.936,154.12,428.848,234.972,154.12,LC4,dend[1566],0.8991410724329039
720575940613260959,412.844,242.256,151.76,412.784,242.16,151.8,LC4,dend[2041],0.9523994381637961
720575940625038090,424.34,240.984,147.0,424.352,241.112,147.0,LC4,dend[1458],0.5413232832734057
720575940638496720,428.62,243.52,145.76,428.692,243.616,145.76,LC4,dend[1749],1.0
720575940633580384,407.756,244.552,154.88,407.696,244.464,154.84,LC4,dend[1945],0.6811276580136109
720575940614914107,425.9,241.756,139.6,425.872,241.92,139.56,LC4,dend[1893],1.0
720575940622531767,418.036,244.896,150.24,418.036,244.816,150.24,LC4,dend[1586],0.8394970829048899
720575940626916936,427.32,234.588,150.68,427.308,234.696,150.68,LC4,dend[1572],0.5990801418190188
720575940625038090,421.848,243.392,143.04,421.852,243.528,143.0,LC4,dend[1452],0.5242368472584907
720575940633580384,427.352,243.968,144.36,427.288,244.056,144.36,LC4,dend[1879],0.5162517856865246
720575940618371520,424.696,238.652,155.16,424.6,238.732,155.2,LC4,dend[1673],0.850656316340932
720575940638496720,410.064,246.42,151.2,410.192,246.436,151.2,LC4,dend[2010],0.4908068347755734
720575940630998339,430.144,241.376,142.12,430.152,241.488,142.16,LC4,dend[1871],0.8208643169838219
720575940613260959,420.488,233.028,156.2,420.388,233.072,156.24,LC4,dend[1713],0.9465769593290932
720575940629753807,420.512,242.768,152.4,420.432,242.832,152.4,LC4,dend[1653],0.38063849773540137
720575940620903551,412.852,239.72,161.12,412.768,239.78,161.12,LC4,dend[1604],0.6546168483220505
720575940613022175,430.392,242.216,139.76,430.296,242.224,139.76,LC4,dend[1872],0.7727955165580239
720575940630017810,419.964,239.784,154.12,420.088,239.8,154.08,LC4,dend[1667],1.0
720575940618723749,422.088,242.184,149.28,421.928,242.096,149.28,LC4,dend[1650],0.8347713426551387
720575940632769180,419.312,242.752,157.32,419.384,242.72,157.32,LC4,dend[1679],1.0
720575940630998339,426.024,241.768,153.92,425.944,241.676,153.92,LC4,dend[1659],0.7844958505288945
720575940614914107,406.112,244.84,158.44,406.228,244.768,158.4,LC4,dend[1955],0.6528031190779977
720575940616713355,413.64,239.648,157.68,413.716,239.724,157.68,LC4,dend[1594],0.7288485672745181
720575940617176321,429.58,236.74,149.28,429.468,236.704,149.28,LC4,dend[1498],0.19101126572997687
720575940618371520,421.312,237.392,158.24,421.416,237.32,158.2,LC4,dend[1695],0.19594524305258426
720575940615575007,421.7,240.32,154.52,421.616,240.384,154.48,LC4,dend[1683],0.9058638193432674
720575940618676440,425.92,240.932,153.52,425.996,240.904,153.56,LC4,dend[1659],0.8951774973449477
720575940622939836,409.624,245.736,152.84,409.488,245.744,152.84,LC4,dend[2009],0.24414687019790393
720575940617176321,413.744,238.104,159.72,413.64,238.168,159.72,LC4,dend[1602],0.5985362115199586
720575940622939836,414.524,243.724,155.84,414.464,243.636,155.84,LC4,dend[1624],0.8147308824269993
720575940633580384,421.88,239.284,155.8,421.72,239.288,155.8,LC4,dend[1688],1.0
720575940617266722,433.124,239.432,145.32,433.268,239.368,145.36,LC4,dend[1835],0.9327468451238483
720575940605598892,413.104,247.296,149.56,412.984,247.236,149.56,LC4,dend[2050],0.5951696511675624
720575940631338271,405.244,239.424,164.24,405.256,239.312,164.2,LC4,dend[1981],0.8823256606420308
720575940631338271,405.248,239.5,164.36,405.224,239.392,164.36,LC4,dend[1981],0.7787707180643444
720575940618676440,428.38,234.796,152.04,428.328,234.864,152.08,LC4,dend[1564],0.1533941497383284
720575940618676440,421.628,238.8,157.28,421.54,238.736,157.32,LC4,dend[1693],0.1931563114419057
720575940617026260,413.28,238.588,160.72,413.248,238.736,160.72,LC4,dend[1604],0.28575533113460555
720575940626626895,419.94,232.86,156.36,419.88,232.952,156.36,LC4,dend[1713],1.0
720575940625934973,434.2,240.608,143.92,434.076,240.56,143.96,LC4,dend[1838],0.4916548052018655
720575940618371520,413.624,237.992,160.28,413.608,237.816,160.32,LC4,dend[1607],0.747085515715415
720575940618312606,434.184,232.816,154.2,434.108,232.724,154.2,LC4,dend[1530],0.9697124871596517
720575940618676440,407.944,245.192,149.6,407.796,245.088,149.64,LC4,dend[2020],0.9043956787118658
720575940618371520,427.836,243.328,140.04,427.728,243.28,140.04,LC4,dend[1896],0.40127945702492
720575940630017810,405.664,240.672,159.4,405.704,240.792,159.36,LC4,dend[2000],0.755191496024824
720575940615575007,407.776,244.032,159.8,407.752,244.2,159.8,LC4,dend[1962],0.24641845738970228
720575940633580384,407.744,245.152,155.28,407.664,245.252,155.28,LC4,dend[1944],1.0
720575940622939836,419.472,240.832,155.24,419.56,240.888,155.28,LC4,dend[1715],0.9198050536362314
720575940612518055,426.304,240.528,153.72,426.28,240.556,153.68,LC4,dend[1661],0.8682916744139569
720575940611134833,420.112,241.724,146.0,419.976,241.744,146.0,LC4,dend[1734],0.8263507020349895
,,,,,,,,dend_11[0],
720575940618676440,431.376,234.452,146.64,431.348,234.544,146.64,LC4,dend[1579],0.9821139084805866
720575940630826552,428.928,237.7,145.96,428.84,237.864,146.0,LC4,dend[1484],0.7194136205657039
720575940630826552,432.72,236.104,151.12,432.84,236.056,151.12,LC4,dend[1508],0.17886930721188143
720575940628122883,424.248,237.164,155.4,424.216,237.272,155.32,LC4,dend[1675],0.8924446330186757
720575940633580384,401.648,246.264,156.6,401.764,246.192,156.6,LC4,dend[1937],0.1382482903325115
720575940615575007,422.296,244.144,145.28,422.288,244.056,145.24,LC4,dend[1455],0.3258226673066727
720575940631338271,424.88,244.376,143.68,424.88,244.456,143.76,LC4,dend[1739],0.41604118559088754
720575940622539800,421.144,244.092,147.84,421.264,244.144,147.84,LC4,dend[1724],0.42326262366987216
720575940618807105,425.072,236.372,146.4,424.94,236.336,146.36,LC4,dend[1473],0.83642924851674
720575940626626895,422.904,242.98,151.8,422.96,242.836,151.76,LC4,dend[1655],0.5637348678488304
720575940617266722,412.8,242.308,152.0,412.696,242.248,151.96,LC4,dend[2031],0.7882532333547912
720575940618371520,419.364,241.716,146.28,419.196,241.656,146.32,LC4,dend[1736],0.22770672339485978
720575940618807105,415.508,240.352,156.32,415.508,240.152,156.32,LC4,dend[1593],0.23739140383933974
720575940618676440,409.576,244.996,150.28,409.688,244.976,150.24,LC4,dend[2022],1.0
720575940613260959,412.024,243.004,152.52,412.04,242.896,152.52,LC4,dend[2042],0.5419025883443128
720575940616713355,413.4,245.44,153.24,413.348,245.4,153.2,LC4,dend[2029],0.9610999667842655
720575940615462587,411.948,244.984,150.12,411.816,244.948,150.12,LC4,dend[1923],0.7377136953771666
720575940630826552,413.648,239.9,158.2,413.588,239.788,158.2,LC4,dend[1594],0.9905316260933905
720575940629753807,415.512,238.024,158.88,415.416,238.112,158.88,LC4,dend[1600],0.99909256543957
720575940613260959,434.144,240.42,143.24,434.244,240.372,143.24,LC4,dend[1840],0.025702550834727073
720575940638496720,424.02,241.464,146.32,424.024,241.572,146.28,LC4,dend[1457],0.6444215777513923
720575940616713355,411.888,234.412,157.6,411.948,234.508,157.64,LC4,dend[1618],0.8067411698358979
720575940628064260,433.436,231.8,152.52,433.508,231.776,152.56,LC4,dend[1524],0.7468473445810068
720575940630851036,424.0,239.792,154.48,424.076,239.904,154.48,LC4,dend[1673],0.18691926481796262
720575940629753807,411.196,244.384,153.6,411.304,244.42,153.6,LC4,dend[2028],0.5320948537707659
720575940605598892,412.896,247.588,149.96,412.84,247.528,149.96,LC4,dend[2052],0.8244478336129352
720575940622531767,413.16,234.304,156.92,413.184,234.416,156.88,LC4,dend[1618],0.1396920169444482
720575940615462587,413.816,237.936,156.64,413.796,237.808,156.68,LC4,dend[1609],0.3260953267797892
720575940638496720,422.052,241.932,150.52,421.908,241.968,150.48,LC4,dend[1651],0.7071773589006446
720575940613260959,403.332,247.256,158.0,403.276,247.136,158.04,LC4,dend[1939],0.6334020589916457
720575940622939836,412.616,241.112,152.4,412.744,241.176,152.4,LC4,dend[2032],0.5601355941886546
720575940628122883,421.08,245.648,144.76,421.032,245.744,144.76,LC4,dend[1905],1.0
720575940638456227,422.032,240.76,154.04,422.048,240.632,154.04,LC4,dend[1671],0.38874215793279365
720575940611134833,431.792,235.32,151.08,431.776,235.208,151.08,LC4,dend[1503],0.5503365689017043
720575940628122883,424.216,244.304,143.72,424.336,244.364,143.72,LC4,dend[1739],0.09359146249283995
,,,,,,,,dend_11[0],
720575940617266722,420.472,241.604,155.88,420.564,241.708,155.88,LC4,dend[1677],0.6612096085036855
720575940630484495,425.788,244.172,145.08,425.836,244.292,145.04,LC4,dend[1740],0.8097319382745722
720575940628064260,428.448,237.896,146.04,428.496,238.008,146.04,LC4,dend[1484],0.6018669247543418
720575940616713355,411.264,245.152,154.52,411.256,245.016,154.52,LC4,dend[2028],0.8597408894089218
720575940619315696,414.504,240.032,154.68,414.496,240.152,154.68,LC4,dend[1623],0.8401171256383364
720575940616713355,414.332,236.056,155.2,414.208,236.024,155.2,LC4,dend[1611],1.0
720575940659060865,433.256,240.32,144.84,433.22,240.44,144.8,LC4,dend[1841],0.24029208198927243
720575940659060865,406.68,245.528,155.2,406.728,245.436,155.2,LC4,dend[1932],1.0
720575940618312606,410.22,246.328,151.28,410.268,246.428,151.32,LC4,dend[2010],0.41877593300427024
