pre,pre_x,pre_y,pre_z,post_x,post_y,post_z,type,mappedSection,mappedSegRangeVar
720575940615462587,405.708,243.536,157.64,405.752,243.432,157.64,LC4,dend[894],1.0
720575940615575007,432.08,231.592,144.28,431.968,231.544,144.28,LC4,dend[411],0.5928360792731849
720575940620903551,431.988,231.652,147.28,431.936,231.528,147.24,LC4,dend[418],0.5306043631891758
720575940659060865,425.992,241.464,148.64,425.932,241.584,148.68,LC4,dend[977],0.288244246520858
720575940629753807,427.032,243.016,146.76,427.136,242.98,146.72,LC4,dend[723],1.0
720575940638496720,410.136,236.76,159.6,410.08,236.832,159.56,LC4,dend[905],0.7973110282789485
720575940638496720,407.244,245.056,160.08,407.232,244.9,160.12,LC4,dend[890],1.0
720575940615575007,420.968,236.504,151.88,420.88,236.528,151.88,LC4,dend[733],1.0
720575940615575007,417.844,242.752,155.52,417.932,242.664,155.48,LC4,dend[754],0.4244337535264713
720575940625934973,429.36,238.68,147.92,429.384,238.76,147.92,LC4,dend[993],1.0
720575940622939836,418.824,240.888,155.04,418.748,240.804,155.04,LC4,dend[755],1.0
720575940617026260,434.664,240.996,145.32,434.608,241.048,145.32,LC4,dend[1031],0.2211319341632516
720575940616713355,424.44,242.304,149.52,424.408,242.42,149.52,LC4,dend[727],0.872820727173679
720575940616713355,435.336,236.912,142.76,435.304,237.04,142.76,LC4,dend[669],0.6698985708899294
720575940628462340,409.676,240.348,156.92,409.728,240.448,156.92,LC4,dend[881],1.0
720575940614914107,419.952,241.056,149.68,420.02,240.888,149.72,LC4,dend[733],0.21374190440847346
720575940625991043,436.068,235.452,135.28,436.156,235.392,135.28,LC4,dend[336],1.0
720575940617176321,435.568,232.404,138.84,435.468,232.44,138.84,LC4,dend[312],0.6540130251751974
720575940617176321,429.016,232.656,150.28,428.944,232.584,150.32,LC4,dend[472],0.49742935801657867
720575940622531767,428.312,232.196,150.72,428.252,232.188,150.72,LC4,dend[439],0.9696805181204576
720575940618807105,427.608,242.76,145.88,427.68,242.92,145.84,LC4,dend[994],0.730531886228771
720575940625934973,413.06,241.564,151.2,413.144,241.692,151.2,LC4,dend[809],0.796657768300744
720575940617266722,407.104,244.664,159.56,407.08,244.688,159.64,LC4,dend[890],0.4675121767700499
720575940631338271,421.644,243.464,149.84,421.696,243.4,149.88,LC4,dend[729],0.5876651156172923
720575940622939836,411.036,241.796,152.8,410.968,241.656,152.84,LC4,dend[865],0.3214361387446987
720575940628462340,437.6,237.248,136.6,437.732,237.184,136.6,LC4,dend[663],0.34842852045844286
720575940610522009,436.528,230.44,142.64,436.496,230.324,142.68,LC4,dend[282],0.4265960284581885
720575940613022175,405.8,239.404,160.2,405.884,239.292,160.16,LC4,dend[933],1.0
720575940618113300,433.88,236.092,135.48,433.996,236.088,135.48,LC4,dend[661],0.1891045455803853
720575940625991043,439.232,238.672,139.2,439.144,238.736,139.2,LC4,dend[681],0.8318040535381683
720575940629753807,432.944,239.2,142.8,432.86,239.368,142.76,LC4,dend[705],0.8051349005317229
720575940618723749,429.948,234.104,140.44,429.84,234.076,140.44,LC4,dend[621],0.7316453546929564
720575940611134833,409.44,242.76,155.92,409.364,242.828,155.84,LC4,dend[879],0.9243965556377817
720575940628122883,437.02,232.22,138.8,437.012,232.16,138.8,LC4,dend[300],0.9892827208805279
720575940617266722,422.464,242.376,153.64,422.516,242.312,153.6,LC4,dend[972],1.0
720575940630826552,436.848,229.788,144.08,436.96,229.82,144.08,LC4,dend[283],0.17516324643836217
720575940614572742,414.972,238.356,146.48,414.888,238.44,146.52,LC4,dend[787],0.7387493185477125
