pre,pre_x,pre_y,pre_z,post_x,post_y,post_z,type,Unnamed: 9,247.408,mappedSection,mappedSegRangeVar
720575940620903551,419.912,233.712,151.16,420.06,233.74,151.16,LC4,,,dend[505],0.31372994890227757
720575940640612480,423.196,232.016,158.16,423.212,231.928,158.16,LC4,,,dend[453],0.6936231484134365
720575940610522009,426.848,241.24,153.92,426.924,241.304,153.96,LC4,,,dend[595],0.29671944991871135
720575940633580384,413.78,242.256,161.24,413.744,242.128,161.24,LC4,,,dend[965],0.2993525432434171
720575940630826552,415.34,233.628,160.56,415.34,233.464,160.52,LC4,,,dend[883],0.19013830685250532
720575940615575007,417.104,239.144,160.52,417.256,239.168,160.56,LC4,,,dend[1035],0.12174617856959506
720575940626626895,421.756,243.32,155.68,421.792,243.392,155.68,LC4,,,dend[541],0.6094059371302376
720575940638456227,424.768,239.08,156.84,424.868,239.068,156.84,LC4,,,dend[597],0.7505959705107403
720575940615575007,421.064,235.88,149.68,421.18,235.852,149.68,LC4,,,dend[492],0.5744553448443294
720575940632769180,428.068,230.108,158.08,428.144,229.968,158.12,LC4,,,dend[1101],1.0
720575940613022175,400.88,241.088,162.56,400.792,241.008,162.52,LC4,,,dend[820],0.3381488954278853
720575940622939836,413.784,245.736,154.96,413.744,245.648,154.92,LC4,,,dend[1001],1.0
720575940628064260,413.972,246.808,150.36,413.92,246.896,150.36,LC4,,,dend[1013],0.4235931559627319
720575940630998339,421.872,243.084,156.64,421.86,243.184,156.64,LC4,,,dend[542],0.25697345458456633
720575940615575007,434.544,235.664,145.96,434.6,235.556,145.92,LC4,,,dend[1157],0.12249682352079178
720575940619397542,402.448,244.464,162.2,402.452,244.596,162.2,LC4,,,dend[833],0.1887453870393186
720575940610522009,410.792,246.204,151.44,410.712,246.284,151.4,LC4,,,dend[1020],0.40158068102425876
720575940633580384,424.856,237.556,155.96,424.888,237.452,155.96,LC4,,,dend[603],0.28707100427320953
720575940625038090,400.776,239.792,165.6,400.676,239.86,165.6,LC4,,,dend[789],0.9844149329658216
720575940628064260,412.8,241.856,158.48,412.764,241.98,158.48,LC4,,,dend[998],1.0
720575940631338271,400.044,240.848,163.88,400.024,240.752,163.88,LC4,,,dend[817],0.36007937461301986
720575940640612480,419.516,234.696,157.64,419.544,234.736,157.68,LC4,,,dend[461],0.2941068642140079
720575940625991043,422.1,230.448,157.04,422.048,230.6,157.0,LC4,,,dend[455],0.7403484606413191
720575940617266722,393.016,242.3,164.52,392.92,242.312,164.52,LC4,,,dend[802],0.30267033623621964
720575940618676440,434.104,230.8,149.08,434.168,230.7,149.12,LC4,,,dend[1134],0.500852659631195
720575940625991043,417.984,233.784,156.76,417.956,233.904,156.72,LC4,,,dend[464],0.6855056353794893
720575940618723749,431.632,231.232,148.44,431.76,231.232,148.44,LC4,,,dend[1153],0.7346130959647055
720575940620903551,423.256,243.676,153.04,423.168,243.776,153.04,LC4,,,dend[555],0.5189575461510588
720575940615575007,413.152,244.576,159.32,413.264,244.54,159.32,LC4,,,dend[975],0.9094729638035017
720575940618676440,429.544,234.484,151.64,429.64,234.448,151.64,LC4,,,dend[1183],0.4463598068860053
720575940614914107,429.66,230.336,156.52,429.752,230.388,156.52,LC4,,,dend[1110],0.6255250643162886
720575940615462587,426.916,240.232,154.68,426.932,240.368,154.68,LC4,,,dend[591],0.25050961148327106
720575940625991043,422.096,240.26,145.68,422.112,240.352,145.64,LC4,,,dend[499],0.5562929995728195
720575940626626895,426.032,240.3,154.56,426.0,240.2,154.52,LC4,,,dend[572],1.0
,,,,,,,,,,dend_12[0],
720575940610522009,411.892,243.944,158.36,411.776,243.912,158.36,LC4,,,dend[999],0.7593667424376552
720575940616713355,414.328,236.12,155.16,414.22,236.144,155.16,LC4,,,dend[916],0.29016187569091106
720575940620903551,419.912,233.728,151.2,420.036,233.74,151.2,LC4,,,dend[505],0.3233343109901787
720575940618723749,431.688,231.268,148.32,431.792,231.348,148.32,LC4,,,dend[1153],0.6572535210294623
720575940613260959,418.32,234.104,157.4,418.22,234.184,157.4,LC4,,,dend[464],0.40962245310301554
720575940622939836,419.304,234.992,158.04,419.264,234.88,158.0,LC4,,,dend[463],0.19927753665553039
720575940630851036,421.208,239.876,154.76,421.204,239.992,154.76,LC4,,,dend[536],0.9408228410533971
720575940617176321,433.28,235.212,145.96,433.2,235.092,145.96,LC4,,,dend[1155],0.75657089096291
720575940617026260,392.884,241.332,164.04,392.948,241.424,164.0,LC4,,,dend[802],0.9523470672716869
